Jackknife	Sample	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles
1	SH2514	2998	123724	433366	22463290	59993078
1	NF24	2971	124856	436466	22517242	59336016
1	WB13	1313	59080	195469	9739453	61016704
1	CW2212	1765	80756	265645	13209608	58896942
1	SH2515	3026	124030	435024	22493439	59842220
1	VR14	1665	77194	250718	12486134	59288136
1	DN26	1415	63470	206109	10280155	59582698
1	BU1031	1913	82807	271811	13593895	57490968
1	VT27	3008	125346	435535	22565800	60374938
1	CW2214	2050	90094	299416	15173444	60904246
1	BU04	1956	86183	283897	14087829	58891122
1	GC30	2736	113363	398500	20386608	57509930
1	DL2524	2832	123977	426595	21937578	57694030
1	VT29	2715	118469	413289	21155563	56710344
1	DL23523	3061	126766	440105	22746293	59681906
1	PZ29	1533	68546	223083	11109292	60935044
1	LI04	858	37319	126941	6376860	60214232
1	WE2430	1552	68323	226479	11339258	61030716
1	WS04	2997	127380	441657	22802927	60122860
1	WE2431	1545	68373	225596	11303061	60582550
1	WS05	3023	126905	436768	22650555	59540456
1	BB10	2788	120181	420350	21300956	56838788
1	VG21	2897	119952	421247	21692930	58848740
1	CE29	3001	123736	435912	22570832	61093790
1	CA14	2739	112715	399314	20226651	57233524
1	FC11	895	39753	131061	6610879	61094334
1	NF30	2904	121982	428444	21979637	58022910
1	MM27	2809	113707	403606	20768321	58720326
1	MI21	1438	64585	210585	10740300	61408932
1	FU14	2664	113434	396171	20376180	58486144
1	BB13	2801	117493	413027	21070111	56304806
1	WB20	1148	53044	176944	8754304	60316870
2	SH2514	3029	124595	435202	22446939	59958836
2	NF24	3010	125687	438565	22508524	59306678
2	WB13	1315	59230	195786	9729843	60986042
2	CW2212	1794	81083	266330	13207946	58866572
2	SH2515	3076	124758	436480	22477673	59806556
2	VR14	1676	77418	251256	12478755	59255238
2	DN26	1422	63651	206309	10262996	59552550
2	BU1031	1927	83426	272871	13597615	57459020
2	VT27	3033	126223	437100	22552291	60339520
2	CW2214	2076	90625	300296	15172382	60875114
2	BU04	1991	86825	284955	14090602	58859250
2	GC30	2758	114193	400194	20374921	57479972
2	DL2524	2866	124789	428138	21922513	57662320
2	VT29	2748	119261	414484	21139352	56680000
2	DL23523	3071	127681	441719	22731638	59651352
2	PZ29	1556	68849	223580	11104469	60904820
2	LI04	865	37446	127377	6379087	60186058
2	WE2430	1568	68468	226949	11332855	60999980
2	WS04	3031	128270	443219	22794890	60086784
2	WE2431	1567	68772	226659	11315202	60552958
2	WS05	3055	127767	438287	22637351	59503466
2	BB10	2834	121051	422127	21282151	56806502
2	CA14	2765	113442	400722	20213514	57200386
2	VG21	2939	120724	422946	21677984	58816624
2	CE29	3029	124590	437755	22556944	61062670
2	FC11	916	39859	131449	6610243	61066046
2	MM27	2825	114537	405098	20755399	58686748
2	NF30	2936	123048	430643	21972648	57993382
2	MI21	1458	64821	210909	10732584	61380722
2	FU14	2702	114147	397725	20362788	58451338
2	BB13	2838	118259	414586	21047341	56270904
2	WB20	1165	53207	177263	8746461	60286298
3	SH2514	3017	124564	435272	22383038	59803922
3	NF24	2998	125668	438905	22446218	59149906
3	WB13	1315	59214	196087	9714254	60829382
3	CW2212	1783	81067	266609	13179891	58715786
3	SH2515	3064	124789	436973	22414910	59649208
3	VR14	1669	77426	251561	12455530	59105126
3	DN26	1412	63584	206470	10241859	59398854
3	BU1031	1913	83306	273106	13571305	57313128
3	VT27	3017	126166	437486	22482302	60180984
3	CW2214	2062	90475	300464	15124387	60716668
3	BU04	1976	86690	285254	14064479	58709584
3	GC30	2750	114299	400558	20320120	57327008
3	DL2524	2848	124880	428773	21866680	57514088
3	VT29	2738	119190	414892	21073536	56527696
3	DL23523	3068	127597	442152	22661387	59501048
3	PZ29	1547	68858	223861	11089134	60747150
3	LI04	867	37480	127495	6364773	60031970
3	WE2430	1573	68589	227435	11332892	60844450
3	WS04	3015	128214	443793	22730041	59927472
3	WE2431	1547	68718	226424	11276882	60398492
3	WS05	3037	127774	438831	22576647	59347520
3	BB10	2827	121163	422565	21228916	56664200
3	CA14	2751	113443	401221	20157677	57051192
3	VG21	2921	120811	423388	21615130	58663734
3	CE29	3011	124631	438179	22493040	60904212
3	FC11	917	39936	131550	6596576	60908992
3	MM27	2813	114556	405589	20699593	58533126
3	NF30	2933	122832	431112	21912752	57849550
3	MI21	1451	64734	211268	10716035	61222510
3	FU14	2687	114166	398208	20306370	58297440
3	BB13	2828	118318	415168	20999181	56127502
3	WB20	1168	53281	177445	8738453	60132478
4	SH2514	3017	123791	433377	22427489	59895872
4	NF24	2978	124872	437130	22489874	59242920
4	WB13	1312	58898	195357	9714491	60927964
4	CW2212	1787	80640	265776	13198811	58814304
4	SH2515	3062	123985	435204	22458617	59742086
4	VR14	1672	77018	250691	12461977	59207000
4	DN26	1420	63201	205554	10243312	59497642
4	BU1031	1927	82877	272331	13586283	57413580
4	VT27	3011	125503	435674	22531615	60273956
4	CW2214	2059	89647	298397	15098519	60810654
4	BU04	1989	86306	284400	14079363	58811508
4	GC30	2742	113570	398986	20358854	57414288
4	DL2524	2857	124119	427095	21907059	57599372
4	VT29	2736	118542	413208	21117086	56611014
4	DL23523	3049	126852	440157	22709164	59592612
4	PZ29	1550	68448	223013	11097360	60846970
4	LI04	864	37443	127225	6375808	60131490
4	WE2430	1566	68153	226966	11338681	60943118
4	WS04	3019	127501	441935	22775201	60021830
4	WE2431	1559	68275	225704	11284392	60496858
4	WS05	3036	126987	437025	22619969	59437312
4	BB10	2832	120498	420827	21272555	56748208
4	CA14	2746	112858	399707	20197619	57135274
4	VG21	2922	120025	421547	21662862	58752604
4	CE29	3006	123829	436459	22539516	60998378
4	FC11	913	39827	131259	6605718	61007382
4	MM27	2818	113885	404007	20739769	58622702
4	NF30	2923	122128	429129	21954598	57931922
4	MI21	1452	64392	210418	10717925	61320174
4	FU14	2703	113482	396525	20348059	58387536
4	BB13	2831	117581	413158	21038579	56214054
4	WB20	1165	53171	176973	8742915	60230566
5	SH2514	3037	124793	435725	22389969	59812608
5	NF24	3016	125914	439383	22452935	59160948
5	WB13	1314	59270	195907	9702070	60845126
5	CW2212	1784	81119	266506	13174376	58737864
5	SH2515	3078	125005	437292	22418051	59660494
5	VR14	1670	77478	251394	12450711	59126934
5	DN26	1420	63730	206591	10242503	59418160
5	BU1031	1928	83436	273239	13571463	57337330
5	VT27	3036	126389	437879	22487298	60190446
5	CW2214	2068	90478	299917	15070298	60727892
5	BU04	1985	86852	285341	14063741	58735504
5	GC30	2759	114448	400781	20320160	57338942
5	DL2524	2866	125124	429104	21872354	57524892
5	VT29	2753	119420	415245	21079481	56531408
5	DL23523	3084	127852	442413	22666879	59511862
5	PZ29	1555	68947	223957	11084429	60764628
5	LI04	863	37513	127518	6366787	60050542
5	WE2430	1572	68644	227525	11328064	60859606
5	WS04	3033	128573	444246	22741531	59939720
5	WE2431	1558	68797	226515	11280723	60415424
5	WS05	3058	128025	439282	22584856	59356822
5	BB10	2842	121395	423105	21239602	56674478
5	CA14	2764	113643	401396	20158878	57059428
5	VG21	2940	121009	423630	21620968	58673080
5	CE29	3028	124891	438552	22499651	60915220
5	FC11	913	39958	131535	6600420	60925752
5	MM27	2834	114796	405859	20705108	58543140
5	NF30	2947	123145	431449	21916043	57856482
5	MI21	1454	64898	211281	10717580	61238188
5	FU14	2708	114389	398530	20308012	58307002
5	BB13	2849	118449	415346	21007926	56141314
5	WB20	1166	53307	177464	8727474	60152628
6	SH2514	3016	123750	434331	22404359	59850240
6	NF24	2978	124906	437878	22466290	59198102
6	WB13	1305	58896	195363	9708792	60880712
6	CW2212	1779	80716	265871	13179560	58764852
6	SH2515	3050	124032	436095	22439769	59698954
6	VR14	1662	77108	250911	12450278	59155472
6	DN26	1415	63381	206090	10241717	59447652
6	BU1031	1919	83040	272456	13576065	57360510
6	VT27	3018	125473	436477	22508531	60229290
6	CW2214	2062	90066	299675	15126521	60766956
6	BU04	1982	86430	284501	14068711	58759228
6	GC30	2743	113531	399576	20332051	57373964
6	DL2524	2839	124087	427673	21884925	57560578
6	VT29	2732	118526	414012	21095970	56566696
6	DL23523	3054	126884	441057	22686691	59543894
6	PZ29	1539	68531	223335	11084989	60798320
6	LI04	856	37332	127168	6366632	60082042
6	WE2430	1565	68242	226866	11317711	60894572
6	WS04	3004	127461	442829	22747878	59977488
6	WE2431	1554	68456	226023	11280921	60449716
6	WS05	3031	126899	437793	22592666	59395704
6	BB10	2823	120406	421713	21251487	56712820
6	CA14	2748	112755	400358	20173229	57095322
6	VG21	2918	120053	422588	21636713	58712772
6	CE29	3007	123894	437341	22514531	60953978
6	FC11	910	39806	131302	6602749	60960450
6	MM27	2815	113868	404549	20717708	58580330
6	NF30	2919	122206	430056	21932582	57890086
6	MI21	1447	64544	210701	10705833	61273568
6	FU14	2685	113437	397302	20324953	58345460
6	BB13	2824	117607	414129	21016756	56173072
6	WB20	1155	52905	176930	8734940	60185598
7	SH2514	2996	123962	433367	22366741	59790692
7	NF24	2972	125164	436892	22428015	59137010
7	WB13	1313	58962	195336	9707059	60817668
7	CW2212	1788	80799	265696	13185915	58700896
7	SH2515	3050	124181	435011	22399337	59638528
7	VR14	1671	77177	250656	12460424	59090806
7	DN26	1408	63484	206185	10259790	59381804
7	BU1031	1925	82989	272241	13572204	57297686
7	VT27	2997	125634	435305	22476853	60169072
7	CW2214	2070	90243	299786	15148604	60706952
7	BU04	1988	86389	284180	14065941	58694444
7	GC30	2727	113649	398533	20301556	57315060
7	DL2524	2829	124291	426636	21851388	57500876
7	VT29	2724	118679	413008	21066461	56509530
7	DL23523	3049	127065	440048	22659529	59485736
7	PZ29	1544	68629	223147	11088128	60737414
7	LI04	859	37333	127229	6366408	60020360
7	WE2430	1557	68222	226557	11313943	60833366
7	WS04	2999	127585	441610	22712183	59916602
7	WE2431	1549	68490	225894	11289964	60384894
7	WS05	3027	127173	436699	22558304	59334492
7	BB10	2814	120632	420449	21220111	56653510
7	CA14	2737	112929	399018	20143688	57036088
7	VG21	2909	120173	421189	21600429	58649744
7	CE29	2987	124141	435968	22481166	60892420
7	FC11	897	39826	131379	6600343	60898094
7	MM27	2795	113943	403413	20685194	58520326
7	NF30	2906	122430	428923	21891603	57832614
7	MI21	1444	64625	210783	10724641	61212380
7	FU14	2667	113616	396258	20293295	58287320
7	BB13	2806	117662	413122	20983934	56115454
7	WB20	1157	53041	176872	8732326	60119838
8	SH2514	3002	124219	433376	22385422	59794360
8	NF24	2986	125118	436506	22434396	59144642
8	WB13	1309	59023	194859	9706021	60819430
8	CW2212	1778	80802	265581	13189330	58701142
8	SH2515	3048	124365	434807	22418190	59642722
8	VR14	1662	77129	250345	12459817	59092450
8	DN26	1420	63408	205480	10254554	59383874
8	BU1031	1919	82992	271818	13569326	57296848
8	VT27	3001	125698	435390	22476710	60174746
8	CW2214	2068	90275	299495	15152417	60709164
8	BU04	1986	86364	283845	14064274	58697542
8	GC30	2738	113817	398608	20315553	57319458
8	DL2524	2836	124433	426601	21866625	57505958
8	VT29	2729	118819	412795	21076047	56520198
8	DL23523	3053	127237	440050	22670847	59486956
8	PZ29	1543	68520	222574	11077464	60738754
8	LI04	865	37475	126979	6361419	60022162
8	WE2430	1559	68079	225795	11303629	60835410
8	WS04	2999	127789	441429	22725437	59920882
8	WE2431	1554	68590	225520	11287110	60388176
8	WS05	3020	127212	436538	22570470	59342800
8	BB10	2823	120896	420465	21232190	56658932
8	CA14	2746	113175	399278	20155978	57043110
8	VG21	2914	120311	421213	21620543	58654518
8	CE29	3012	124247	435704	22494066	60895752
8	FC11	912	39892	131101	6600207	60900976
8	MM27	2816	114180	403419	20700924	58527208
8	NF30	2926	122373	428751	21902242	57845370
8	MI21	1446	64707	210374	10715602	61215138
8	FU14	2688	113891	396335	20305086	58288428
8	BB13	2833	117881	412889	20996031	56128974
8	WB20	1152	53113	176477	8726835	60122516
9	SH2514	3021	124560	434009	22427536	59909316
9	NF24	2994	125769	437657	22487489	59256838
9	WB13	1310	59297	195393	9719300	60933298
9	CW2212	1780	81128	265926	13194682	58814878
9	SH2515	3063	124841	435791	22458378	59758570
9	VR14	1662	77467	250712	12468023	59206610
9	DN26	1412	63718	206270	10265006	59500294
9	BU1031	1908	83369	272116	13580926	57408226
9	VT27	3018	126193	436079	22523859	60292898
9	CW2214	2060	90693	300331	15174759	60822540
9	BU04	1978	86797	284223	14076827	58809956
9	GC30	2746	114238	399268	20357118	57431894
9	DL2524	2861	124932	427455	21909868	57616086
9	VT29	2736	119185	413612	21116847	56632686
9	DL23523	3074	127721	441021	22713484	59600602
9	PZ29	1550	68863	223172	11090926	60854154
9	LI04	861	37585	127302	6370903	60134688
9	WE2430	1556	68479	226194	11310547	60949160
9	WS04	3018	128318	442479	22779436	60038918
9	WE2431	1549	68761	225683	11290134	60500298
9	WS05	3051	127795	437676	22623774	59462294
9	BB10	2832	121214	421432	21272979	56762670
9	CA14	2752	113512	399941	20197839	57157452
9	VG21	2929	120821	422416	21667002	58766256
9	CE29	3015	124733	437038	22541179	61011020
9	FC11	911	39961	131255	6602983	61013870
9	MM27	2824	114681	404199	20738232	58639852
9	NF30	2934	122974	429778	21951252	57945454
9	MI21	1456	64829	210537	10719359	61328826
9	FU14	2691	114260	397020	20342569	58404072
9	BB13	2841	118344	414207	21041226	56228566
9	WB20	1150	53274	177038	8741306	60236062
10	SH2514	3024	124177	433959	22445962	59968160
10	NF24	2998	125516	437440	22513177	59314124
10	WB13	1318	59091	195064	9728993	60996908
10	CW2212	1789	80926	265376	13199204	58878492
10	SH2515	3073	124443	435460	22475310	59816750
10	VR14	1673	77237	250342	12474185	59268134
10	DN26	1424	63561	205624	10260010	59564690
10	BU1031	1929	83193	271989	13589210	57471472
10	VT27	3030	125979	436127	22550846	60347784
10	CW2214	2076	90375	299236	15153499	60883140
10	BU04	1995	86572	284074	14083053	58871390
10	GC30	2759	114003	399135	20377178	57484880
10	DL2524	2866	124619	427229	21938879	57670226
10	VT29	2747	119015	413693	21137104	56688426
10	DL23523	3083	127397	440560	22737941	59657728
10	PZ29	1555	68734	222669	11098424	60914460
10	LI04	863	37396	127043	6373277	60195982
10	WE2430	1566	68326	226035	11320292	61010030
10	WS04	3028	128000	442400	22800793	60095992
10	WE2431	1558	68534	225218	11288135	60562260
10	WS05	3046	127423	437373	22643825	59515112
10	BB10	2834	120851	421413	21295970	56816986
10	CA14	2769	113342	399962	20223711	57211534
10	VG21	2934	120477	421940	21682451	58823484
10	CE29	3022	124329	436827	22560211	61068706
10	FC11	912	39780	130903	6602819	61075156
10	MM27	2837	114368	404271	20761335	58695584
10	NF30	2933	122729	429646	21977299	57999290
10	MI21	1460	64662	210526	10729801	61389536
10	FU14	2704	114141	396596	20369005	58461356
10	BB13	2844	118029	413597	21062993	56286110
10	WB20	1167	53125	176505	8740822	60298758
11	SH2514	3031	124361	434545	22461858	59909344
11	NF24	2997	125580	437858	22522775	59255674
11	WB13	1305	58841	194546	9701564	60935036
11	CW2212	1781	80562	264651	13168781	58820692
11	SH2515	3079	124649	436045	22493338	59756062
11	VR14	1658	77005	249703	12444439	59209494
11	DN26	1419	63361	205499	10251301	59502004
11	BU1031	1925	82950	271552	13568389	57415788
11	VT27	3029	126135	436515	22568659	60287532
11	CW2214	2068	90146	298966	15147861	60824546
11	BU04	1981	86254	283278	14056140	58813110
11	GC30	2757	114153	399591	20389024	57426424
11	DL2524	2854	124745	427778	21938525	57614224
11	VT29	2748	119174	414049	21155347	56623914
11	DL23523	3072	127584	441151	22746763	59600056
11	PZ29	1543	68488	222360	11080655	60855212
11	LI04	860	37330	127021	6367416	60138218
11	WE2430	1558	67998	225434	11300545	60951374
11	WS04	3027	128111	442820	22813543	60037988
11	WE2431	1556	68289	224965	11275876	60503080
11	WS05	3056	127587	437967	22657269	59455876
11	BB10	2845	121073	421687	21306168	56753404
11	CA14	2766	113408	400231	20229211	57145228
11	VG21	2929	120633	422529	21695289	58762938
11	CE29	3026	124513	437319	22572985	61012138
11	FC11	911	39717	130967	6597044	61016050
11	MM27	2832	114503	404632	20771755	58633670
11	NF30	2935	122796	429972	21985212	57939344
11	MI21	1449	64367	210079	10712776	61329076
11	FU14	2699	114120	397215	20377937	58401988
11	BB13	2845	118157	414105	21069777	56220162
11	WB20	1162	52949	176604	8742387	60240240
12	SH2514	3004	124130	434220	22437584	59841810
12	NF24	2974	125347	437623	22496424	59187812
12	WB13	1309	58789	195049	9700644	60869594
12	CW2212	1775	80547	265297	13172652	58760544
12	SH2515	3052	124220	435825	22466432	59694438
12	VR14	1672	76862	250529	12455691	59149520
12	DN26	1420	63384	206045	10257222	59442302
12	BU1031	1918	82768	271916	13557609	57357970
12	VT27	3011	125744	436030	22536665	60223604
12	CW2214	2065	90166	299235	15129461	60756252
12	BU04	1979	86144	283839	14050258	58753626
12	GC30	2736	113845	399503	20365547	57362922
12	DL2524	2840	124366	427287	21914711	57545652
12	VT29	2729	118742	413489	21126658	56564390
12	DL23523	3059	127059	440799	22716088	59536554
12	PZ29	1554	68654	223106	11085603	60790376
12	LI04	863	37262	127156	6365330	60073976
12	WE2430	1562	68011	226294	11301191	60885244
12	WS04	3014	127744	442434	22784643	59969970
12	WE2431	1556	68193	225506	11272586	60441144
12	WS05	3035	127246	437396	22625890	59388840
12	BB10	2820	120630	421314	21280012	56691870
12	CA14	2745	113098	400140	20206005	57086536
12	VG21	2908	120249	422248	21666216	58699722
12	CE29	3004	124280	437141	22547513	60944366
12	FC11	911	39737	131134	6594798	60950022
12	MM27	2809	114157	404475	20748497	58571754
12	NF30	2920	122598	429697	21959938	57876602
12	MI21	1456	64427	210470	10708878	61263086
12	FU14	2686	113973	397332	20357396	58336742
12	BB13	2824	117859	414023	21048125	56160966
12	WB20	1164	52735	176595	8733228	60173436
13	SH2514	3022	123935	431059	22368612	59635950
13	NF24	2994	125013	434548	22432004	58982766
13	WB13	1298	58682	193558	9666437	60659966
13	CW2212	1762	80323	263144	13119423	58547808
13	SH2515	3069	124216	432941	22397918	59486452
13	VR14	1648	76912	248841	12414680	58938820
13	DN26	1401	63123	204103	10205669	59225990
13	BU1031	1887	82634	269396	13510453	57150630
13	VT27	3013	125764	433261	22475696	60016198
13	CW2214	2060	90021	297468	15106278	60548090
13	BU04	1957	86000	281531	14004552	58543528
13	GC30	2737	113800	396796	20303506	57164380
13	DL2524	2846	124101	424208	21842498	57346296
13	VT29	2731	118788	410930	21064816	56361074
13	DL23523	3061	126888	437309	22643531	59332202
13	PZ29	1541	68224	220889	11031725	60577130
13	LI04	857	37207	126255	6341366	59864168
13	WE2430	1560	68101	225346	11287609	60675608
13	WS04	3006	127503	439018	22706921	59761346
13	WE2431	1536	68070	223217	11222778	60227966
13	WS05	3029	127013	434216	22553830	59180476
13	BB10	2819	120624	418544	21219682	56498334
13	CA14	2737	113035	397220	20144908	56885556
13	VG21	2927	120151	419138	21601748	58496756
13	CE29	2998	124022	434044	22480962	60737422
13	FC11	909	39602	130023	6567505	60738692
13	MM27	2816	114151	401502	20685416	58368126
13	NF30	2918	122334	426950	21906912	57689524
13	MI21	1442	64313	208617	10660047	61051740
13	FU14	2681	113669	394404	20289301	58128450
13	BB13	2839	117706	410906	20983587	55967642
13	WB20	1161	52894	175392	8705808	59963074
14	SH2514	3043	124755	435520	22378730	59736526
14	NF24	3012	125892	439090	22446722	59084932
14	WB13	1319	59300	196074	9680073	60763532
14	CW2212	1796	81065	266602	13152553	58648870
14	SH2515	3085	124991	437072	22408989	59586890
14	VR14	1681	77492	251709	12434901	59038464
14	DN26	1429	63647	206872	10241258	59329376
14	BU1031	1935	83333	273243	13543829	57247980
14	VT27	3027	126431	437748	22479442	60116128
14	CW2214	2080	90611	300828	15126319	60651232
14	BU04	1997	86745	285403	14039458	58647396
14	GC30	2763	114413	400856	20318061	57258402
14	DL2524	2872	125084	428898	21873282	57447126
14	VT29	2743	119440	415260	21070142	56460578
14	DL23523	3088	127940	442441	22673421	59433246
14	PZ29	1558	68851	223814	11057025	60681362
14	LI04	864	37566	127726	6353371	59966536
14	WE2430	1574	68590	227482	11293812	60777896
14	WS04	3041	128480	443908	22730687	59865300
14	WE2431	1565	68716	226380	11240532	60330676
14	WS05	3068	127948	439014	22585091	59280430
14	BB10	2846	121342	422920	21233775	56597598
14	CA14	2767	113720	401285	20158770	56982198
14	VG21	2947	120941	423668	21619566	58594402
14	CE29	3033	124852	438551	22498326	60839306
14	FC11	916	39952	131700	6584373	60843346
14	MM27	2836	114785	405736	20701129	58465780
14	NF30	2945	123145	431328	21914726	57784250
14	MI21	1463	64836	211417	10690239	61156240
14	FU14	2708	114401	398244	20306035	58226900
14	BB13	2855	118486	415245	20997065	56060642
14	WB20	1166	53339	177555	8722506	60067080
15	SH2514	3019	124180	434775	22428234	59846854
15	NF24	2992	125421	438299	22492779	59195110
15	WB13	1305	58782	195163	9692060	60875956
15	CW2212	1776	80550	265677	13165913	58759716
15	SH2515	3064	124480	436423	22460761	59694498
15	VR14	1664	76862	250592	12434256	59150632
15	DN26	1423	63530	206246	10272240	59444044
15	BU1031	1915	82801	272262	13556809	57359342
15	VT27	3025	125926	436953	22541153	60226176
15	CW2214	2058	90043	299794	15138913	60764678
15	BU04	1981	86220	284232	14047619	58757032
15	GC30	2740	113987	399974	20359168	57365744
15	DL2524	2850	124538	428086	21913555	57552850
15	VT29	2740	118921	414410	21126464	56562054
15	DL23523	3058	127336	441420	22718085	59539750
15	PZ29	1546	68245	222697	11047854	60795526
15	LI04	862	37321	127065	6361527	60078496
15	WE2430	1564	68111	226524	11305913	60890726
15	WS04	3019	127845	442978	22779291	59973588
15	WE2431	1554	68150	225463	11252847	60445282
15	WS05	3037	127342	438018	22624336	59389840
15	BB10	2826	120839	421833	21272838	56697676
15	CA14	2754	113183	400420	20198138	57088446
15	VG21	2914	120433	422680	21662485	58703622
15	CE29	3009	124294	437559	22542044	60952142
15	FC11	912	39730	131142	6594180	60955710
15	MM27	2813	114297	404873	20740737	58574730
15	NF30	2919	122583	430255	21958200	57882922
15	MI21	1452	64328	210342	10688549	61270072
15	FU14	2694	113956	397513	20347612	58339522
15	BB13	2828	117938	414504	21040102	56163320
15	WB20	1154	52959	176777	8727126	60178662
16	SH2514	3007	124186	433061	22364424	59654656
16	NF24	2991	125422	436133	22420536	59003590
16	WB13	1313	58906	194553	9671526	60679678
16	CW2212	1789	80877	264855	13138862	58570876
16	SH2515	3038	124513	434821	22397831	59504546
16	VR14	1673	76962	250027	12417433	58957458
16	DN26	1410	63350	205794	10237525	59252906
16	BU1031	1894	82922	271366	13519913	57168354
16	VT27	2997	125981	435146	22468664	60034328
16	CW2214	2057	90077	298751	15100986	60569904
16	BU04	1961	86178	283365	14010422	58567140
16	GC30	2746	113908	398443	20300227	57180850
16	DL2524	2854	124602	426393	21852855	57370258
16	VT29	2712	119089	412558	21064661	56378894
16	DL23523	3045	127437	439763	22652177	59349560
16	PZ29	1521	68324	222088	11040449	60597646
16	LI04	843	37269	126809	6347765	59883448
16	WE2430	1537	68135	225780	11269660	60693426
16	WS04	2994	127930	441083	22710862	59780920
