Jackknife	Origin	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles	Intergenic_Alternate	Intergenic_Total
100	Introduced	24870	846856	2344338	137007014	140223078	417817	1100452
100	Native	24136	803456	2246732	130732978	133807302	400471	1107482
101	Introduced	24490	836048	2303258	136019990	139183786	420011	1100728
101	Native	23744	792830	2207414	129793706	132817694	398352	1107262
102	Introduced	24564	831202	2294692	135762508	138912966	416237	1099938
102	Native	23810	788896	2200306	129540244	132553256	400168	1107200
103	Introduced	24788	841444	2326184	136001066	139193482	419418	1100902
103	Native	24020	798064	2229098	129766914	132818096	400610	1107758
104	Introduced	24904	847824	2346730	137221480	140440938	420669	1100618
104	Native	24178	804304	2248878	130931110	134008470	401183	1107052
105	Introduced	24588	834596	2310678	135890542	139060404	419589	1100550
105	Native	23826	791514	2214054	129653332	132682726	400519	1107636
106	Introduced	24780	843502	2331754	135786444	138986480	417752	1101578
106	Native	24062	800172	2234728	129555736	132614698	398484	1106934
107	Introduced	24268	835334	2308510	135935992	139104104	419253	1100744
107	Native	23578	792574	2211326	129685720	132713198	399092	1106844
108	Introduced	24874	848016	2347158	137251834	140471882	418134	1100436
108	Native	24146	804512	2249280	130962190	134040128	400526	1107268
109	Introduced	24452	831250	2289234	136214062	139358998	418974	1099940
109	Native	23768	788474	2193580	129970744	132976566	399956	1107832
10	Introduced	24730	841386	2328166	136219946	139414228	418152	1099584
10	Native	24020	798344	2231054	129972386	133025804	400238	1107330
11	Introduced	24690	839504	2321468	136044592	139230254	419236	1100356
11	Native	23980	796428	2224664	129805606	132850678	400275	1108010
12	Introduced	24468	838330	2324024	135817884	139004706	417329	1099974
12	Native	23766	795810	2227754	129603384	132650714	399602	1106092
13	Introduced	24570	838172	2317344	135855526	139035612	418528	1099078
13	Native	23796	795304	2220918	129638316	132678334	399343	1105932
14	Introduced	24814	843324	2332264	135782394	138982796	419649	1100008
14	Native	24070	800048	2235016	129563754	132622888	399214	1106136
15	Introduced	24624	839360	2323696	135692256	138879936	418405	1099576
15	Native	23878	796426	2226504	129456658	132503466	398393	1105668
16	Introduced	24632	841588	2326766	135843760	139036746	418697	1099212
16	Native	23942	798358	2230142	129624728	132677170	400101	1106802
17	Introduced	24820	845304	2336696	135840098	139046918	418885	1100182
17	Native	24092	802016	2239396	129622440	132687944	400389	1106826
18	Introduced	24444	832106	2312626	136050400	139219576	418484	1100402
18	Native	23674	788958	2214962	129798612	132826206	398686	1107570
19	Introduced	24390	819780	2308544	136781350	139934064	420485	1100126
19	Native	23708	777194	2212010	130502320	133515232	398720	1106768
1	Introduced	24624	839450	2321444	136001938	139187456	419208	1100178
1	Native	23934	796298	2224624	129773344	132818200	399787	1107296
20	Introduced	24762	840866	2330946	136115524	139312098	419582	1100982
20	Native	24026	797670	2233648	129885282	132940626	399242	1106974
21	Introduced	24858	844330	2336614	135821646	139027448	419146	1100678
21	Native	24134	801246	2239212	129612236	132676828	398968	1107180
22	Introduced	24828	842494	2329416	135747822	138944560	419966	1099956
22	Native	24114	799458	2232688	129544510	132600770	398003	1106826
23	Introduced	24864	843006	2334672	135800344	139002886	420157	1099448
23	Native	24114	800052	2237458	129597820	132659444	399517	1106070
24	Introduced	24764	840950	2326454	135837286	139029454	420909	1101180
24	Native	24006	798060	2229608	129626964	132678638	399650	1106766
25	Introduced	24726	840216	2324596	135763676	138953214	416850	1101114
25	Native	23992	796924	2227836	129549230	132597982	401011	1107384
26	Introduced	24866	841218	2329356	135826820	139022260	417878	1100296
26	Native	24134	798212	2232544	129602500	132657390	399191	1107652
27	Introduced	24696	842380	2326420	135867742	139061238	420281	1099406
27	Native	23958	799186	2229626	129635148	132687918	398920	1106806
28	Introduced	24688	842758	2329070	136490072	139686588	418271	1100814
28	Native	23950	799428	2231778	130234658	133289814	399031	1106858
29	Introduced	24768	837986	2321002	136338440	139522196	418389	1100222
29	Native	24050	795128	2223912	130083784	133126874	401215	1106654
2	Introduced	24780	842220	2328650	135776486	138972136	418295	1099946
2	Native	24066	799058	2231810	129558504	132613438	398398	1106620
30	Introduced	24678	838562	2323000	135895896	139082136	422319	1100890
30	Native	23954	795986	2226426	129678480	132724846	401615	1107024
31	Introduced	24698	840612	2331352	135769196	138965858	418483	1100468
31	Native	23974	797594	2234460	129543600	132599628	396621	1107144
32	Introduced	24574	842880	2334480	135847458	139049392	419209	1100216
32	Native	23890	799452	2237294	129634140	132694776	399436	1106690
33	Introduced	24802	842630	2330628	135721144	138919204	417830	1099534
33	Native	24076	799658	2233550	129526500	132583784	399504	1106776
34	Introduced	24700	839714	2323690	135638038	138826142	418793	1100732
34	Native	23960	796978	2227492	129441464	132489894	398909	1107136
35	Introduced	24776	845992	2337716	135923486	139131970	420116	1100068
35	Native	24056	802680	2240290	129685090	132752116	399940	1106588
36	Introduced	24900	847730	2345884	136677340	139895854	417132	1099272
36	Native	24160	804138	2248122	130410574	133486994	398476	1106774
37	Introduced	24804	839712	2322402	136072328	139259246	418674	1101064
37	Native	24068	796544	2225386	129836804	132882802	398891	1107028
38	Introduced	24796	843964	2332614	135793770	138995144	419423	1099440
38	Native	24058	800632	2235576	129584520	132644786	398076	1106406
39	Introduced	24678	841808	2332678	135805670	139004834	418957	1099962
39	Native	23954	798646	2235792	129593710	132652102	399536	1107174
3	Introduced	24736	843124	2333882	135805132	139006874	418161	1101312
3	Native	23988	799944	2236756	129579674	132640362	398012	1107118
40	Introduced	24786	842700	2332402	135825224	139025112	419591	1099694
40	Native	24048	799328	2234752	129595146	132653274	399624	1106198
41	Introduced	24596	838962	2321682	135720738	138905978	417676	1100160
41	Native	23860	796192	2225656	129506828	132552536	399883	1107808
42	Introduced	24714	842082	2328502	135750842	138946140	421183	1100380
42	Native	23984	799020	2231452	129524602	132579058	399575	1107444
43	Introduced	24728	841868	2328370	135897586	139092552	422015	1100010
43	Native	23980	798570	2231444	129664296	132718290	397706	1106594
44	Introduced	24898	847244	2345196	137200396	140417734	418584	1100338
44	Native	24158	803792	2247420	130912632	133988002	400588	1107256
45	Introduced	24674	839762	2326824	136062508	139253768	420719	1100934
45	Native	23946	796994	2230250	129842224	132893414	398224	1106638
46	Introduced	24794	839374	2327046	135718832	138910046	419380	1100102
46	Native	24066	796446	2229926	129484936	132535374	400750	1107532
47	Introduced	24704	841542	2331180	135826152	139023578	420390	1100558
47	Native	23962	798360	2233896	129593340	132649558	399126	1106508
48	Introduced	24648	839160	2321162	135789962	138974932	418967	1100456
48	Native	23904	796024	2224274	129548038	132592240	399721	1106366
49	Introduced	24724	840002	2324066	135738270	138927062	419713	1098960
49	Native	24032	796694	2226914	129520378	132568018	400760	1106838
4	Introduced	24610	837240	2321902	135808310	138992062	416653	1099496
4	Native	23892	794188	2225098	129586700	132629878	398088	1106320
50	Introduced	24702	843544	2330858	135773286	138972390	418819	1100196
50	Native	23968	800372	2233504	129546070	132603914	400630	1106704
51	Introduced	24768	839648	2319850	136118658	139302924	419887	1100368
51	Native	24044	796570	2223020	129876684	132920318	399360	1107162
52	Introduced	24910	848168	2347240	137258646	140478964	419387	1100696
52	Native	24178	804656	2249376	130968832	134047042	399758	1106632
53	Introduced	24632	840612	2326258	136099178	139290680	419388	1101054
53	Native	23936	797298	2228838	129858008	132908080	399305	1107760
54	Introduced	24740	842198	2326602	135749354	138942894	419623	1099910
54	Native	24002	798706	2228954	129517280	132568942	399062	1105612
55	Introduced	24732	843772	2334720	135870952	139074176	421345	1101272
55	Native	24018	800558	2237446	129655228	132717250	401193	1107698
56	Introduced	24768	841212	2331658	135786688	138984326	418575	1100296
56	Native	24040	798066	2234166	129564810	132621082	399449	1107140
57	Introduced	24832	841972	2330538	135788818	138986160	418082	1098344
57	Native	24108	798788	2233232	129563704	132619832	401241	1106714
58	Introduced	24792	843774	2335342	135903686	139107594	418475	1100816
58	Native	24062	800412	2237978	129667418	132729870	397253	1106520
59	Introduced	24640	838590	2328176	136644382	139835788	422824	1099656
59	Native	23914	795810	2231052	130378036	133428812	398560	1107272
5	Introduced	24776	843778	2334750	135813844	139017148	419031	1100502
5	Native	24042	800560	2237378	129568942	132630922	398590	1105752
60	Introduced	24588	835320	2304934	136224364	139389206	419332	1100544
60	Native	23896	792360	2209084	129976238	133001578	401451	1107106
61	Introduced	24562	831818	2312232	135783728	138952340	420148	1101088
61	Native	23806	788900	2215500	129560438	132588644	398091	1106706
62	Introduced	24512	837766	2311600	135628828	138802706	418760	1099882
62	Native	23828	795148	2216822	129463732	132499530	399037	1106966
63	Introduced	24728	840954	2327582	135836738	139030002	420466	1100388
63	Native	24026	798078	2231226	129620650	132673980	398196	1106470
64	Introduced	24674	840474	2321924	135808254	138995326	418065	1099918
64	Native	23936	797318	2225010	129591122	132637386	400776	1107644
65	Introduced	24568	839188	2321616	136087448	139272820	420262	1099954
65	Native	23806	796004	2224760	129861814	132906384	398934	1106350
66	Introduced	24706	845428	2340970	136951990	140163094	420144	1099680
66	Native	23992	802184	2243522	130685782	133755480	400250	1106878
67	Introduced	24780	841262	2329488	136108112	139303642	418044	1100298
67	Native	24054	798254	2231880	129849544	132903732	401385	1107188
68	Introduced	24768	841398	2327164	135845624	139038954	422111	1099742
68	Native	24040	798210	2230436	129623234	132675920	401123	1107348
69	Introduced	24744	843858	2334950	135828400	139031952	418111	1100478
69	Native	24054	800638	2237776	129613032	132675500	399791	1105774
6	Introduced	24520	834552	2317614	135764128	138940814	416896	1100758
6	Native	23840	791726	2221032	129532906	132569504	399004	1106532
70	Introduced	24840	842574	2331482	135756042	138954938	419287	1099940
70	Native	24140	799298	2234316	129522458	132580212	397076	1105400
71	Introduced	24656	843270	2331192	135814914	139014032	419322	1099900
71	Native	23986	800094	2234128	129604062	132662270	399896	1107592
72	Introduced	24806	844118	2334948	136606064	139809936	420130	1099872
72	Native	24088	800920	2237810	130351868	133414686	400885	1107026
73	Introduced	24796	843300	2329410	135990034	139187540	417876	1101212
73	Native	24074	800106	2232588	129757102	132813870	398317	1107038
74	Introduced	24786	844078	2331472	135850784	139051120	418736	1100760
74	Native	24054	800572	2233784	129602814	132661224	400116	1107038
75	Introduced	24772	841502	2329694	135804322	139000290	418553	1099324
75	Native	24042	798524	2232118	129579208	132633892	399590	1106324
76	Introduced	24586	838080	2317966	135683958	138864590	419450	1100468
76	Native	23848	795076	2221408	129473744	132514076	399832	1106482
77	Introduced	24738	841880	2325350	135853028	139044996	418995	1100120
77	Native	24044	798600	2227728	129624714	132675086	401347	1106474
78	Introduced	24710	843114	2336498	136984368	140188690	421256	1100080
78	Native	23992	799640	2238630	130705196	133767458	398770	1107090
79	Introduced	24674	842310	2330804	135975906	139173694	420530	1101016
79	Native	23938	799064	2233634	129740180	132796816	398505	1106516
7	Introduced	24482	838678	2323338	135731378	138917876	419403	1100858
7	Native	23736	795418	2225782	129505752	132550688	396372	1106472
80	Introduced	24832	841536	2328382	135782788	138977538	419552	1100742
80	Native	24102	798582	2231622	129561180	132615486	399686	1107480
81	Introduced	24762	841178	2331534	135800220	138997694	419464	1100670
81	Native	24038	798122	2234508	129573336	132630004	399220	1106310
82	Introduced	24774	844822	2335878	135855208	139060682	418906	1100548
82	Native	24062	801598	2238150	129635412	132699222	398571	1106986
83	Introduced	24796	844438	2338412	136544156	139751802	418253	1099766
83	Native	24060	800998	2240692	130287484	133353234	399382	1107074
84	Introduced	24520	834408	2314162	136076252	139249342	419420	1100202
84	Native	23818	791270	2217074	129823606	132855768	400821	1105968
85	Introduced	24692	838474	2329058	135807650	138999874	418977	1101710
85	Native	23962	795628	2232064	129585446	132637100	399775	1107060
86	Introduced	24818	844024	2333472	135756542	138958856	417848	1100564
86	Native	24074	800802	2236404	129547672	132608952	399102	1106814
87	Introduced	24772	840406	2323986	135929878	139119042	418239	1100526
87	Native	24040	797442	2226862	129702574	132750918	399180	1106992
88	Introduced	24850	847402	2345116	136952522	140169890	419749	1100102
88	Native	24122	803950	2247334	130674214	133749620	401357	1106856
89	Introduced	24658	839578	2320666	136135702	139320604	421106	1101746
89	Native	23930	796686	2224080	129899352	132944048	401194	1107986
8	Introduced	24642	842062	2329614	135712478	138908796	419520	1100966
8	Native	23924	798944	2232722	129508752	132564342	399467	1106592
90	Introduced	24436	837934	2309854	135777410	138949634	418020	1099254
90	Native	23732	795306	2214108	129556772	132589918	402143	1106692
91	Introduced	23922	816800	2289644	135906222	139036588	419752	1100644
91	Native	23182	774146	2193204	129669552	132660084	399357	1106448
92	Introduced	24110	827574	2292722	136182520	139326926	419869	1101066
92	Native	23450	785066	2196074	129933146	132937736	399223	1107222
93	Introduced	24714	837982	2315948	135873962	139052606	419924	1100976
93	Native	23974	794684	2218804	129640104	132677566	400153	1107512
94	Introduced	24580	839292	2318370	135784752	138966994	419489	1101424
94	Native	23854	796124	2222378	129581460	132623816	398056	1107320
95	Introduced	24314	832590	2304194	135618608	138779706	419013	1100436
95	Native	23610	789850	2208832	129416974	132439266	398779	1107306
96	Introduced	24704	840022	2315888	136026900	139207514	418615	1100538
96	Native	23950	796606	2219186	129791094	132830836	397220	1107048
97	Introduced	24094	836702	2307152	135711254	138879202	420223	1100156
97	Native	23340	793328	2210384	129458748	132485800	401480	1107642
98	Introduced	24612	839242	2319102	135661460	138844416	420690	1099986
98	Native	23894	796072	2222336	129436610	132478912	397607	1106708
99	Introduced	24682	842344	2326356	135861566	139054948	418743	1100800
99	Native	23934	798952	2229074	129629756	132681716	398933	1106924
9	Introduced	24706	841680	2324762	135804282	138995430	416681	1100140
9	Native	23998	798502	2228012	129578132	132628644	398010	1107458
